"userID","userName","userAddress","password"
1,"Rick Novak","1414 E 59TH ST RM 513 CHICAGO IL 60637","123456"
2,"Susan Connor",NULL,"111111"
3,"Lee Nazal","1101 E 56TH ST RM 234 CHICAGO IL 60637","qazplm888"
4,"Jeff Johnson","4278 E WACKER DR APT 14 CHICAGO IL 60601","qazPLM100!"
5,"Roger Lum",NULL,"QWERTyuiop"
12,Bill Scott,3838 W 111TH ST RM 206 CHICAGO IL 60655,BSus0201jk!
20,Paulina Menendez,238 N MILWAUKEE AVE CHICAGO IL 60618,PMmu0815?
28,Ioseb Jughashvili,2218 N WESTERN AVE CHICAGO IL 60622,IJmru1218!
36,Kohl Honecker,NULL,KHddr2334$
44,Katie Reeves,1148 W WELLINGTON AVE CHICAGO IL 60657,KRms1234^
